"Gene","Count","Tissue","Patient ID","Data File ID"
"ENSG00000231963","59","Lumbar Spinal Cord","NEUTZ242FYW","CGND-HRA-02484"
"ENSG00000231963","55","Lumbar Spinal Cord","NEUUA622RE8","CGND-HRA-03137"
"ENSG00000231963","48","Lumbar Spinal Cord","NEUUE532LFF","CGND-HRA-00273"
"ENSG00000231963","7","Lumbar Spinal Cord","NEUUF289NRL","CGND-HRA-01400"
"ENSG00000231963","55","Lumbar Spinal Cord","NEUUK557CZW","CGND-HRA-00474"
"ENSG00000231963","33","Lumbar Spinal Cord","NEUUW406NWF","CGND-HRA-03493"
"ENSG00000231963","36","Lumbar Spinal Cord","NEUUW911LWA","CGND-HRA-00610"
"ENSG00000231963","19","Lumbar Spinal Cord","NEUUY552RBK","CGND-HRA-01642"
"ENSG00000231963","23","Lumbar Spinal Cord","NEUUZ212DHJ","CGND-HRA-03021"
"ENSG00000231963","53","Lumbar Spinal Cord","NEUVE818GRA","CGND-HRA-03061"
"ENSG00000231963","37","Lumbar Spinal Cord","NEUVM032BF2","CGND-HRA-02636"
"ENSG00000231963","12","Lumbar Spinal Cord","NEUVV225XKB","CGND-HRA-03107"
"ENSG00000231963","41","Lumbar Spinal Cord","NEUWC334RTZ","CGND-HRA-01377"
"ENSG00000231963","12","Lumbar Spinal Cord","NEUWD570BTK","CGND-HRA-01383"
"ENSG00000231963","12","Lumbar Spinal Cord","NEUWG326WUJ","CGND-HRA-01533"
"ENSG00000231963","27","Lumbar Spinal Cord","NEUWG523WRV","CGND-HRA-00642"
"ENSG00000231963","14","Lumbar Spinal Cord","NEUWK953TJN","CGND-HRA-02448"
"ENSG00000231963","17","Lumbar Spinal Cord","NEUWP285RM6","CGND-HRA-00420"
"ENSG00000231963","25","Lumbar Spinal Cord","NEUWT414AYT","CGND-HRA-02179"
"ENSG00000231963","21","Lumbar Spinal Cord","NEUWX051HMF","CGND-HRA-01440"
"ENSG00000231963","25","Lumbar Spinal Cord","NEUWZ373ZHA","CGND-HRA-00315"
"ENSG00000231963","43","Lumbar Spinal Cord","NEUWZ841BRT","CGND-HRA-03269"
"ENSG00000231963","5","Lumbar Spinal Cord","NEUXD265LJ8","CGND-HRA-01661"
"ENSG00000231963","13","Lumbar Spinal Cord","NEUXD817GGZ","CGND-HRA-02218"
"ENSG00000231963","45","Lumbar Spinal Cord","NEUXF746MEU","CGND-HRA-02460"
"ENSG00000231963","54","Lumbar Spinal Cord","NEUXG883FGC","CGND-HRA-03123"
"ENSG00000231963","55","Lumbar Spinal Cord","NEUXH792ZDW","CGND-HRA-03109"
"ENSG00000231963","33","Lumbar Spinal Cord","NEUXN530DK8","CGND-HRA-01520"
"ENSG00000231963","33","Lumbar Spinal Cord","NEUXR099CKK","CGND-HRA-00282"
"ENSG00000231963","37","Lumbar Spinal Cord","NEUXR145UBL","CGND-HRA-01392"
"ENSG00000231963","18","Lumbar Spinal Cord","NEUXT979EZV","CGND-HRA-00036"
"ENSG00000231963","16","Lumbar Spinal Cord","NEUXV447YXF","CGND-HRA-03423"
"ENSG00000231963","41","Lumbar Spinal Cord","NEUXW599BNC","CGND-HRA-01315"
"ENSG00000231963","48","Lumbar Spinal Cord","NEUXY076JMB","CGND-HRA-00666"
"ENSG00000231963","34","Lumbar Spinal Cord","NEUXZ213MVF","CGND-HRA-01496"
"ENSG00000231963","20","Lumbar Spinal Cord","NEUYB686REL","CGND-HRA-00037"
"ENSG00000231963","43","Lumbar Spinal Cord","NEUYB841CUY","CGND-HRA-03121"
"ENSG00000231963","54","Lumbar Spinal Cord","NEUYE611NWL","CGND-HRA-03334"
"ENSG00000231963","121","Lumbar Spinal Cord","NEUYF686AK9","CGND-HRA-03346"
"ENSG00000231963","9","Lumbar Spinal Cord","NEUYJ579GT6","CGND-HRA-02173"
"ENSG00000231963","56","Lumbar Spinal Cord","NEUYT145HVC","CGND-HRA-02160"
"ENSG00000231963","33","Lumbar Spinal Cord","NEUYV496XLP","CGND-HRA-00028"
"ENSG00000231963","25","Lumbar Spinal Cord","NEUYW563PXU","CGND-HRA-02491"
"ENSG00000231963","32","Lumbar Spinal Cord","NEUYX020CB0","CGND-HRA-00390"
"ENSG00000231963","42","Lumbar Spinal Cord","NEUYY221HZA","CGND-HRA-00272"
"ENSG00000231963","44","Lumbar Spinal Cord","NEUZF190CT2","CGND-HRA-03129"
"ENSG00000231963","22","Lumbar Spinal Cord","NEUZK186ZK4","CGND-HRA-00683"
"ENSG00000231963","16","Lumbar Spinal Cord","NEUZK363UAQ","CGND-HRA-01595"
"ENSG00000231963","68","Lumbar Spinal Cord","NEUZU200WEQ","CGND-HRA-00029"
"ENSG00000231963","22","Lumbar Spinal Cord","NEUZX073BDK","CGND-HRA-00376"
"ENSG00000231963","2","Lumbar Spinal Cord","NEUZX847VWV-NEUWR459TCY","CGND-HRA-01554"
"ENSG00000155959","1204","Lumbar Spinal Cord","GWF14-01","CGND-HRA-00299"
"ENSG00000155959","1121","Lumbar Spinal Cord","JHU73","CGND-HRA-00558"
"ENSG00000155959","320","Lumbar Spinal Cord","JHU79","CGND-HRA-00565"
"ENSG00000155959","429","Lumbar Spinal Cord","JHU80","CGND-HRA-00570"
"ENSG00000155959","690","Lumbar Spinal Cord","JHU82","CGND-HRA-00577"
"ENSG00000155959","918","Lumbar Spinal Cord","JHU83","CGND-HRA-00584"
"ENSG00000155959","464","Lumbar Spinal Cord","NEUAA712LGL","CGND-HRA-03027"
"ENSG00000155959","593","Lumbar Spinal Cord","NEUAE883HW3","CGND-HRA-02646"
"ENSG00000155959","885","Lumbar Spinal Cord","NEUAG831KFQ","CGND-HRA-01432"
"ENSG00000155959","600","Lumbar Spinal Cord","NEUAJ995AXE","CGND-HRA-02466"
"ENSG00000155959","622","Lumbar Spinal Cord","NEUAL503EPH","CGND-HRA-01307"
"ENSG00000155959","958","Lumbar Spinal Cord","NEUAP156PM4","CGND-HRA-00606"
"ENSG00000155959","933","Lumbar Spinal Cord","NEUAT369TG5","CGND-HRA-00337"
"ENSG00000155959","745","Lumbar Spinal Cord","NEUAV181KYK","CGND-HRA-02405"
"ENSG00000155959","960","Lumbar Spinal Cord","NEUAV667LJK","CGND-HRA-00345"
"ENSG00000155959","871","Lumbar Spinal Cord","NEUAY067UTB","CGND-HRA-00750"
"ENSG00000155959","832","Lumbar Spinal Cord","NEUBB078VEG","CGND-HRA-01323"
"ENSG00000155959","1453","Lumbar Spinal Cord","NEUBD692FG6","CGND-HRA-03328"
"ENSG00000155959","1108","Lumbar Spinal Cord","NEUBE992ZD1","CGND-HRA-01611"
"ENSG00000155959","1051","Lumbar Spinal Cord","NEUBN400CYR","CGND-HRA-03417"
"ENSG00000155959","708","Lumbar Spinal Cord","NEUBU587UWA","CGND-HRA-02236"
"ENSG00000155959","1907","Lumbar Spinal Cord","NEUBU920EK5","CGND-HRA-03316"
"ENSG00000155959","265","Lumbar Spinal Cord","NEUCG551GV1","CGND-HRA-00468"
"ENSG00000155959","525","Lumbar Spinal Cord","NEUCN416KGV","CGND-HRA-02248"
"ENSG00000155959","1236","Lumbar Spinal Cord","NEUCV649UJK","CGND-HRA-00275"
"ENSG00000155959","1455","Lumbar Spinal Cord","NEUCW292DYJ","CGND-HRA-00279"
"ENSG00000155959","555","Lumbar Spinal Cord","NEUCY461UB1","CGND-HRA-03041"
"ENSG00000155959","427","Lumbar Spinal Cord","NEUDD512DJM","CGND-HRA-03465"
"ENSG00000155959","967","Lumbar Spinal Cord","NEUDG361GA9","CGND-HRA-00238"
"ENSG00000155959","1535","Lumbar Spinal Cord","NEUDG727NTW","CGND-HRA-00432"
"ENSG00000155959","535","Lumbar Spinal Cord","NEUDJ612NZM","CGND-HRA-02472"
"ENSG00000155959","909","Lumbar Spinal Cord","NEUDK592BDZ","CGND-HRA-02153"
"ENSG00000155959","1873","Lumbar Spinal Cord","NEUDM397JGD","CGND-HRA-00235"
"ENSG00000155959","1266","Lumbar Spinal Cord","NEUDR086ZDQ","CGND-HRA-00237"
"ENSG00000155959","1422","Lumbar Spinal Cord","NEUDT233ZZ1","CGND-HRA-00426"
"ENSG00000155959","688","Lumbar Spinal Cord","NEUDT709YHN","CGND-HRA-01648"
"ENSG00000155959","643","Lumbar Spinal Cord","NEUDX768ADY","CGND-HRA-02795"
"ENSG00000155959","529","Lumbar Spinal Cord","NEUEA633EN5","CGND-HRA-00675"
"ENSG00000155959","735","Lumbar Spinal Cord","NEUEB569WFU","CGND-HRA-01416"
"ENSG00000155959","581","Lumbar Spinal Cord","NEUEC006FND","CGND-HRA-00031"
"ENSG00000155959","875","Lumbar Spinal Cord","NEUEE362LGE","CGND-HRA-01637"
"ENSG00000155959","1246","Lumbar Spinal Cord","NEUEE593VY7","CGND-HRA-00408"
"ENSG00000155959","746","Lumbar Spinal Cord","NEUEF397VVN","CGND-HRA-00307"
"ENSG00000155959","735","Lumbar Spinal Cord","NEUEF856BLV","CGND-HRA-00464"
"ENSG00000155959","1037","Lumbar Spinal Cord","NEUEH612JPA","CGND-HRA-00614"
"ENSG00000155959","1866","Lumbar Spinal Cord","NEUEL133AK6","CGND-HRA-00027"
"ENSG00000155959","1152","Lumbar Spinal Cord","NEUEL766XR1","CGND-HRA-03487"
"ENSG00000155959","1104","Lumbar Spinal Cord","NEUEM417CHQ","CGND-HRA-02505"
"ENSG00000155959","642","Lumbar Spinal Cord","NEUEP010ZFE","CGND-HRA-01183"
"ENSG00000155959","669","Lumbar Spinal Cord","NEUFE255AG2","CGND-HRA-00485"
"ENSG00000155959","1463","Lumbar Spinal Cord","NEUFG213VG0","CGND-HRA-03299"
"ENSG00000155959","543","Lumbar Spinal Cord","NEUFR417RN4","CGND-HRA-03133"
"ENSG00000155959","1156","Lumbar Spinal Cord","NEUFT454ZFP","CGND-HRA-00233"
"ENSG00000155959","512","Lumbar Spinal Cord","NEUFU395MJD","CGND-HRA-03055"
"ENSG00000155959","777","Lumbar Spinal Cord","NEUFV843EVC","CGND-HRA-01502"
"ENSG00000155959","2029","Lumbar Spinal Cord","NEUFY271WFL","CGND-HRA-03275"
"ENSG00000155959","1221","Lumbar Spinal Cord","NEUGA773REC","CGND-HRA-00039"
"ENSG00000155959","828","Lumbar Spinal Cord","NEUGD051YM7","CGND-HRA-02430"
"ENSG00000155959","712","Lumbar Spinal Cord","NEUGD887RT1","CGND-HRA-01490"
"ENSG00000155959","976","Lumbar Spinal Cord","NEUGG230KV0","CGND-HRA-02436"
"ENSG00000155959","773","Lumbar Spinal Cord","NEUGJ562DR9","CGND-HRA-02513"
